table_number;table_name;material_group;material_code;material_label;level_1;level_2;level_3;level_4;description;description_main;abr_code;period_begin_code;period_begin_label;period_begin_group;period_end_code;period_end_label;period_end_group;date_range_text;indent_spaces
6;CULTUUR;;;;;;;;Creswell-cultuur;Creswell-cultuur;CRE;;;;;;;;0
6;CULTUUR;;;;;;;;De Leijen-Wartena complex;De Leijen-Wartena complex;LWC;;;;;;;;0
6;CULTUUR;;;;;;;;Eems-cultuur;Eems-cultuur;EEM;;;;;;;;0
6;CULTUUR;;;;;;;;Elp-cultuur;Elp-cultuur;ELP;;;;;;;;0
6;CULTUUR;;;;;;;;Enkelgraf-cultuur;Enkelgraf-cultuur;EGK;;;;;;;;0
6;CULTUUR;;;;;;;;Hamburg-cultuur;Hamburg-cultuur;HAM;;;;;;;;0
6;CULTUUR;;;;;;;;Hazendonk-cultuur;Hazendonk-cultuur;HAZ;;;;;;;;0
6;CULTUUR;;;;;;;;Hilversum-cultuur;Hilversum-cultuur;HVS;;;;;;;;0
6;CULTUUR;;;;;;;;Hoogkarspel-cultuur;Hoogkarspel-cultuur;HKL;;;;;;;;0
6;CULTUUR;;;;;;;;Inheems-romeins;Inheems-romeins;INH;;;;;;;;0
6;CULTUUR;;;;;;;;Klokbeker-cultuur;Klokbeker-cultuur;KB;;;;;;;;0
6;CULTUUR;;;;;;;;Late mesolithic survival;Late mesolithic survival;LMS;;;;;;;;0
6;CULTUUR;;;;;;;;Lineaire bandkeramiek;Lineaire bandkeramiek;LBK;;;;;;;;0
6;CULTUUR;;;;;;;;Magdalenien-cultuur;Magdalenien-cultuur;MAG;;;;;;;;0
6;CULTUUR;;;;;;;;Michelsberg-cultuur;Michelsberg-cultuur;MK;;;;;;;;0
6;CULTUUR;;;;;;;;Mousterien;Mousterien;MOU;;;;;;;;0
6;CULTUUR;;;;;;;;Mousterien de tradition acheuleenne;Mousterien de tradition acheuleenne;MTA;;;;;;;;0
6;CULTUUR;;;;;;;;Nederrijnse grafheuvel-cultuur;Nederrijnse grafheuvel-cultuur;NGK;;;;;;;;0
6;CULTUUR;;;;;;;;Niet van toepassing;Niet van toepassing;---;;;;;;;;0
6;CULTUUR;;;;;;;;Northwest-Kreis;Northwest-Kreis;NWK;;;;;;;;0
6;CULTUUR;;;;;;;;Onbekend;Onbekend;XXX;;;;;;;;0
6;CULTUUR;;;;;;;;Rhine Basin-Kreis;Rhine Basin-Kreis;RBK;;;;;;;;0
6;CULTUUR;;;;;;;;Roessener-cultuur;Roessener-cultuur;ROS;;;;;;;;0
6;CULTUUR;;;;;;;;Romeins;Romeins;ROM;;;;;;;;0
6;CULTUUR;;;;;;;;Swifterbant-cultuur;Swifterbant-cultuur;SWI;;;;;;;;0
6;CULTUUR;;;;;;;;S.O.M./Stein/midden-neolithicum Limburg;S.O.M./Stein/midden-neolithicum Limburg;SOM;;;;;;;;0
6;CULTUUR;;;;;;;;Tjonger-cultuur;Tjonger-cultuur;TJO;;;;;;;;0
6;CULTUUR;;;;;;;;Trechterbeker-cultuur;Trechterbeker-cultuur;TRB;;;;;;;;0
6;CULTUUR;;;;;;;;Vlaardingen-cultuur;Vlaardingen-cultuur;VLA;;;;;;;;0
6;CULTUUR;;;;;;;;Wikkeldraad-cultuur;Wikkeldraad-cultuur;WKD;;;;;;;;0
6;CULTUUR;;;;;;;;Zeijen-cultuur;Zeijen-cultuur;ZEI;;;;;;;;0
7;MATERIAAL;;;;;;;;Glas;Glas;GLS;;;;;;;;0
7;MATERIAAL;;;;;;;;Keramiek;Keramiek;KER;;;;;;;;0
7;MATERIAAL;;;;;;;;Metaal;Metaal;MXX;;;;;;;;0
7;MATERIAAL;;;;Metaal;;;;Brons;Brons;MBR;;;;;;;;3
7;MATERIAAL;;;;Metaal;;;;Goud;Goud;MAU;;;;;;;;3
7;MATERIAAL;;;;Metaal;;;;IJzer;IJzer;MFE;;;;;;;;3
7;MATERIAAL;;;;Metaal;;;;Koper;Koper;MCU;;;;;;;;3
7;MATERIAAL;;;;Metaal;;;;Lood;Lood;MPB;;;;;;;;3
7;MATERIAAL;;;;Metaal;;;;Messing;Messing;MME;;;;;;;;3
7;MATERIAAL;;;;Metaal;;;;Tin of lood-tin legering;Tin of lood-tin legering;MSN;;;;;;;;3
7;MATERIAAL;;;;Metaal;;;;Zilver;Zilver;MAG;;;;;;;;3
7;MATERIAAL;;;;;;;;Organisch;Organisch;OXX;;;;;;;;0
7;MATERIAAL;;;;Organisch;;;;Bot, dierlijk;Bot, dierlijk;ODB;;;;;;;;3
7;MATERIAAL;;;;Organisch;;;;Bot, menselijk;Bot, menselijk;OMB;;;;;;;;3
7;MATERIAAL;;;;Organisch;;;;Bot, onbekend;Bot, onbekend;OXB;;;;;;;;3
7;MATERIAAL;;;;Organisch;;;;Gewei;Gewei;ODG;;;;;;;;3
7;MATERIAAL;;;;Organisch;;;;Hoorn;Hoorn;ODH;;;;;;;;3
7;MATERIAAL;;;;Organisch;;;;Hout/houtskool;Hout/houtskool;OPH;;;;;;;;3
